time,velocity,informationId,partVelocity,week
0,12.2709048717,37273;37274;49400;49401;49404;54997;55000;55002;55003;55004;55005;65806;65807;65808;65809;65814;65815;76411;76412;87579;87581;87582,11.6539140671;9.18367346939;9.35285781767;12.3904881101;11.7229129663;15.7018239492;23.3215547703;5.42614414908;5.45004128819;7.41295394983;5.53846153846;13.769123783;13.0779392338;10.1694915254;11.667648792;17.4603174603;16.5275459098;14.1327623126;18.3333333333;10.6223175966;12.2905027933;14.7540983607,0
1,13.4497538871,14809;14810;27832;27833;33149;37278;55008;76415;76418;87585;87590,13.9436619718;8.8;12.9921259843;12.7249357326;10.7784431138;14.4842721287;12.9074315515;11.6333725029;17.5687666371;18.316373728;13.7979094077,0
2,11.9674008948,6902;14812;14813;14815;27834;87591;87592,9.98990918264;11.4915844457;14.5161290323;12.3518402994;15.9677419355;6.28970775095;13.164893617,0
3,10.6352383309,27835;55012;76425;76427;76428,8.70712401055;10.2272727273;14.6993318486;9.3572778828;10.1851851852,0
4,16.0313058798,14817;33155;55015;65822;76430;76431,13.855843247;12.5874125874;17.6313446126;20.1629327902;12.9666011788;18.9837008629,0
5,12.8229656283,6912;14819;14821;14822;33157;33158;55020,12.8321451717;13.0693069307;10.3232533889;10.0558659218;13.8849929874;16.7796610169;12.8155339806,0
6,9.37244946462,14826;41440;49419;55025;76436,10.1694915254;11.7368109069;13.4146341463;1.40825035562;10.1330603889,0
7,10.8394956133,6923;6924;14829;14830;21930;27838;49420,5.67497850387;17.1428571429;12.6841768097;12.6356094448;11.5317414094;12.1621621622;4.04494382022,0
8,13.4693877551,55032,13.4693877551,0
9,16.8264474832,65833;65837,10.0814663951;23.5714285714,0
10,9.8523199164,33166;65841;87604;87606,12.5714285714;2.73669661368;11.7647058824;12.3364485981,0
11,8.53279937609,65843;65845;76442,12.2752634842;9.33521923621;3.98791540785,0
12,13.866902127,6940;33168;49431;65848;65849;87612,17.4449339207;11.8633912522;14.5695364238;12.8990228013;14.7431124348;11.6814159292,0
13,13.4460883063,6943;27849;49433;49438;49439;65853;76447;87620;87621,13.9436619718;10.3394255875;12.4060150376;10.0866021396;16.6386554622;16.722972973;11.7368109069;14.6775389177;14.4631117604,0
14,11.7730391294,6948;6951;14850;14851;21944;21945;21948;27854;27855;33171;65858;76448;76449,11.1738148984;13.3964817321;3.01599390708;15.7018239492;19.9195171026;6.55412115194;16.2162162162;13.8075313808;15.3369481022;9.8703888335;6.96447414703;8.09154066204;13.0006565988,0
