time,velocity,informationId,partVelocity,week
0,13.3494712273,6889;14806;21918;49399;54998;65810;76410,14.5555555556;13.7749737119;9.59004392387;14.3956043956;13.7172774869;12.7431906615;14.6696528555,0
1,14.5733762982,6894;14811;49406;65817;76421;87586,17.2141918528;10.7026143791;12.7804878049;16.7305236271;19.0684133916;10.9440267335,0
2,13.4539028735,55010;65820;76424,14.9202733485;10.7553366174;14.6860986547,0
3,14.6042363434,41438,14.6042363434,0
4,15.4871183023,21925;49413;55017;76432,12.996031746;10.3312302839;15.1445086705;23.476702509,0
5,11.8552036199,65824,11.8552036199,0
6,16.5164507114,55024;76435,17.0572916667;15.9756097561,0
7,14.6029120198,14828;55029;87598,15.5766944114;13.0348258706;15.1972157773,0
8,9.63944076527,49423,9.63944076527,0
9,13.4667715493,6934;6935;33164;49424;65838,11.5114235501;10.7026143791;19.523099851;10.6764466178;14.9202733485,0
10,13.1455629961,14842;49427,18.1189488243;8.17217716781,0
12,11.3028472821,6939,11.3028472821,0
13,15.5168987128,49440;65854;87623,17.1241830065;14.3169398907;15.1095732411,0
14,17.4899866489,87625,17.4899866489,0
15,14.0708915145,76458,14.0708915145,0
16,14.5289353755,6962;27862,18.4247538678;10.6331168831,0
17,14.453759441,6972;14863;14870;27876;41452;49467;55051;55052;55053;55056;65877;65883,12.669245648;22.3549488055;17.1241830065;16.7091836735;14.6042363434;14.7025813692;14.2701525054;16.990920882;8.89341479973;15.5213270142;11.7699910153;7.83492822967,0
18,13.2106494122,14876;14879;21974;55068;55069;87655,7.26164079823;10.1080246914;24.8106060606;18.5552407932;13.0218687873;5.50651534258,0
19,14.4582031088,14885;14889;27888;33199;37305;41459;41463;49481;49486;49487;55072;55078;55079;65901;65907;76488,14.5071982281;13.9658848614;10.7465135357;15.5766944114;11.451048951;14.5717463849;15.46635183;10.8623548922;16.7091836735;11.8124436429;19.9695121951;10.1236476043;14.802259887;18.0192572215;17.6549865229;15.0921658986,0
20,13.3736328407,21994;21996;33210;49494;55080;55090;65933;76504;87679;87686;87691,12.4524714829;12.4761904762;14.0708915145;9.60410557185;22.3168654174;12.7184466019;11.6237799468;13.2591093117;14.5071982281;12.0515179393;12.0293847567,0
21,12.8758171424,7000;7013;7019;22009;22011;22013;27911;37326;37331;41472;41478;49506;49514;49521;49522;55099;55104;55108;55109;55117;55121;65935;76514;76515;76521,9.64653902798;14.0860215054;7.88206979543;15.0574712644;6.4027370479;9.02203856749;23.0228471002;14.5394006659;10.2024922118;12.9446640316;15.9173754557;14.3169398907;12.5961538462;11.6964285714;16.253101737;13.6886102403;14.8694665153;14.6532438479;6.38712823013;12.265917603;13.804004215;8.41902313625;9.99237223494;16.6454891995;17.5838926174,0
22,13.7294697061,7025;7030;14925;22020;22026;41484;41489;41490;49534;49535;55125;55126;55138;55139;65952;65953;76536;76555;87732,8.0024434942;10.1236476043;4.49862637363;9.07202216066;12.3236124177;14.9714285714;16.1528976572;14.9202733485;13.6033229491;13.8624338624;18.9580318379;17.4899866489;13.7172774869;4.78801169591;23.1040564374;15.1796060255;23.1448763251;11.8552036199;15.0921658986,0
23,13.9783839404,7059;7063;7075;7078;14954;14958;14978;22058;22066;37346;41496;41501;49540;55151;55152;65976;65977;65980;65993;65995;65997;76594;87739;87740;87756,16.354556804;20.3416149068;14.0106951872;10.0769230769;5.9708295351;17.0795306389;10.693877551;6.05360443623;8.97875257025;14.1621621622;17.0795306389;14.8694665153;19.494047619;15.0747986191;13.8918345705;14.3013100437;12.4288425047;15.5952380952;18.0939226519;14.0557939914;18.0192572215;12.8937007874;15.8980582524;11.8552036199;12.1860465116,0
24,15.0475461183,7096;14996;15002;22071;22074;22076;27949;33254;37361;41508;49548;49564;55180;66020;66025;76598;76609;87770;87771;87772;87776,14.9202733485;15.7451923077;12.3352165725;21.9430485762;16.2935323383;7.48571428571;17.513368984;13.9658848614;16.4572864322;23.0228471002;10.438247012;12.265917603;11.0735418428;14.4273127753;14.6368715084;10.7553366174;15.8787878788;18.3473389356;12.1634168988;13.9361702128;22.3931623932,0
