time,velocity,informationId,partVelocity,week
0,11.9270808173,6890;14805;14807;14808;21916;27825;27826;37272;37273;37274;49400;49401;49403;49404;54997;54999;55000;55002;55003;55004;55005;65806;65807;65808;65809;65812;65814;65815;76411;76412;76414;87578;87579;87581;87582,11.1954459203;13.6258660508;12.3949579832;9.7520661157;21.146953405;7.18635809988;8.60058309038;8.39260312945;12.7155172414;9.19003115265;22.1804511278;12.3949579832;13.785046729;9.81697171381;16.9540229885;10.9057301294;19.2182410423;8.38068181818;6.8287037037;10.1724137931;9.40988835726;13.3484162896;13.4090909091;14.4607843137;11.6370808679;5.16637478109;16.3888888889;16.9540229885;11.6600790514;5.25846702317;11.4785992218;8.89894419306;9.80066445183;12.2916666667;12.447257384,0
1,12.8008092881,6893;6898;6899;14809;14810;21919;21920;27832;27833;33149;37277;37278;49405;49407;55006;55007;55008;65816;76415;76417;76418;76419;76420;76422;87584;87585;87587;87590,12.5799573561;8.52601156069;9.50080515298;11.9433198381;7.03218116806;12.3949579832;12.9955947137;11.2380952381;10.2787456446;11.38996139;10.9665427509;15.9459459459;13.3182844244;14.5320197044;13.1991051454;10.1899827288;10.8058608059;10.7861060329;10.4609929078;12.7705627706;17.1014492754;11.4785992218;17.0028818444;22.6923076923;15.1282051282;19.0938511327;13.1991051454;11.8712273642,0
2,11.5153718955,6902;14812;14813;14814;14815;27834;33150;49408;49409;65819;65821;76423;87591;87592,10.4424778761;13.4396355353;15.7754010695;9.54692556634;11.6370808679;10.6306306306;11.5009746589;14.603960396;9.81697171381;6.90058479532;11.8712273642;9.65630114566;11.4119922631;13.981042654,0
3,12.2367145021,6909;14816;27835;33152;33154;37279;49412;55012;76425;76426;76427;76428;87593,17.1511627907;10.7664233577;7.46835443038;10.1549053356;15.7333333333;14.0476190476;5.48327137546;12.7155172414;15.4855643045;14.4607843137;9.65630114566;10.6690777577;15.2849740933,0
4,13.1842196672,6911;14817;14818;21924;21927;27836;33155;33156;49414;55015;55016;55019;65822;76430;76431;76433,14.75;15.2849740933;10.405643739;11.8;10.3690685413;10.1899827288;11.6600790514;11.1954459203;5.24911032028;18.4952978056;21.7712177122;10.0854700855;15.0127226463;12.5;17.7177177177;14.4607843137,0
5,14.7019727148,6912;6915;14819;14821;14822;33157;33158;33159;49415;49417;55020;65826;76434,19.0938511327;9.86622073579;13.0530973451;11.3461538462;17.5595238095;17.0028818444;15.4046997389;20.2054794521;8.29817158931;20.4152249135;13.3484162896;14.824120603;10.7078039927,0
6,11.0576114529,6920;14826;21928;41440;49419;55022;55023;55025;65827;76436,7.74278215223;9.06298003072;6.02655771195;15.81769437;12.2406639004;11.9675456389;10.102739726;13.9150943396;9.7520661157;13.9479905437,0
7,12.1196815952,6923;6924;6927;6928;14827;14829;14830;21929;21930;21931;27838;41441;41442;49420;55027;55028;65828;87597,5.8648111332;15.0127226463;13.5944700461;20.1365187713;11.1531190926;12.688172043;12.6338329764;12.8820960699;12.5;8.6637298091;13.981042654;12.8540305011;10.2608695652;8.57558139535;10.2430555556;14.3902439024;12.7705627706;9.94940978078,0
8,12.2382261353,6929;6931;14834;21932;21933;21934;21935;27839;33160;33162;37281;49421;55030;55031;55032;65831;65832;87599;87600,12.7429805616;13.140311804;10.350877193;40.4109589041;9.06298003072;6.99881376038;10.9665427509;9.03522205207;7.94078061911;8.35694050992;8.35694050992;10.8655616943;11.6141732283;12.9955947137;14.1486810552;12.2661122661;13.5321100917;10.7468123862;8.99390243902,0
9,11.1848571022,14837;14838;14839;21936;33163;33165;37282;49425;49426;55033;65833;65834;65835;65836;65837;65839;87601;87602;87603,11.568627451;11.4563106796;13.5944700461;0.976174718729;11.0694183865;10.5734767025;7.48730964467;8.50144092219;10.592459605;10.4609929078;11.1320754717;15.81769437;9.83333333333;10.6115107914;23.6;14.603960396;7.50636132316;12.5531914894;10.5734767025,0
