time,velocity,informationId,partVelocity,week
0,8.15213906241,6890;14805;14807;14808;21916;27825;27826;37272;49403;54999;65812;76414;87578,11.1111111111;10.1694915254;9.23076923077;9.67741935484;8.21917808219;7.22891566265;9.23076923077;8.33333333333;6.97674418605;5.40540540541;4.44444444444;11.5384615385;4.41176470588,0
1,9.62573968109,6893;6898;6899;21919;21920;37277;49405;49407;55006;55007;65816;76417;76419;76420;76422;87584;87587,13.6363636364;8.10810810811;5.60747663551;5.60747663551;2.54237288136;8.0;13.3333333333;13.0434782609;6.97674418605;6.59340659341;6.0;5.45454545455;11.5384615385;10.1694915254;24.0;10.5263157895;12.5,0
2,8.28880351534,14814;33150;49408;49409;65819;65821;76423,6.97674418605;7.22891566265;8.45070422535;9.83606557377;6.89655172414;8.9552238806;9.67741935484,0
3,12.8138828505,6909;14816;33152;33154;37279;49412;76426;87593,13.9534883721;8.9552238806;14.6341463415;8.0;10.3448275862;21.4285714286;14.2857142857;10.9090909091,0
4,7.85377650796,6911;14818;21924;21927;27836;33156;49414;55016;55019;76433,6.59340659341;7.89473684211;9.67741935484;10.5263157895;5.55555555556;0.492610837438;5.26315789474;9.67741935484;8.57142857143;14.2857142857,0
5,13.2618720613,6915;33159;49415;49417;65826;76434,9.83606557377;20.0;5.88235294118;13.3333333333;21.4285714286;9.09090909091,0
6,9.03017159701,6920;21928;55022;55023;65827,8.69565217391;6.59340659341;12.0;10.1694915254;7.69230769231,0
7,10.2036606702,6927;6928;14827;21929;21931;41441;41442;55026;55027;55028;65828;87597,4.41176470588;20.0;9.52380952381;7.59493670886;7.89473684211;18.1818181818;11.7647058824;7.5;6.0;9.67741935484;7.89473684211;12.0,0
8,9.9025041988,6929;6931;14834;21932;21933;21934;21935;27839;33160;33162;37281;49421;55030;55031;65831;65832;87599;87600,5.50458715596;13.0434782609;7.69230769231;40.0;9.09090909091;6.97674418605;9.375;6.31578947368;7.31707317073;2.13523131673;8.33333333333;8.9552238806;3.0303030303;12.2448979592;12.2448979592;6.31578947368;10.7142857143;8.9552238806,0
9,8.82822544236,14837;14838;14839;21936;33163;33165;37282;49425;49426;55033;65834;65835;65836;65839;87601;87602;87603,7.14285714286;11.5384615385;9.23076923077;1.90476190476;10.0;6.74157303371;6.3829787234;9.375;10.5263157895;8.33333333333;13.9534883721;9.83606557377;10.5263157895;9.23076923077;7.5;12.5;5.35714285714,0
