time,velocity,informationId,partVelocity,week
0,9.91176612943,6887;6888;6889;6891;6892;14804;14806;21917;21918;27827;27828;37275;37276;41437;49399;49402;54998;55001;65810;65811;65813;76410;76413;87580;87583,4.13110276545;6.73719376392;12.0758483034;1.56634304207;1.53319817537;8.92330383481;11.2558139535;34.7701149425;3.13471502591;2.75877792978;1.27395241103;38.5350318471;6.31194574857;10.0082712986;8.28199863107;15.2201257862;2.33997292593;8.96960711638;7.99207397622;4.85553772071;21.0069444444;14.9938042131;5.51001821494;7.33778047301;8.27067669173,0
1,7.14012441114,6894;6895;6896;6897;14811;27829;27830;27831;49406;65817;76416;76421;87586;87588;87589,6.73719376392;3.38272295219;5.00206696982;3.00248138958;10.6326889279;5.21102497847;6.97808535179;9.86145069275;0.738705738706;8.89705882353;13.1236442516;14.9014778325;4.29382540809;1.57572600599;12.7637130802,0
2,7.05165232818,6900;6901;6903;6904;6905;21921;49410;55009;55010;65818;65820;76424,7.02671312427;8.13718897108;3.95037544891;8.87747615554;9.49019607843;4.86139011651;4.90275526742;9.07046476762;5.1467460655;8.20895522388;3.72307692308;11.2244897959,0
3,8.58229679258,6906;6907;6908;21922;21923;33151;33153;41438;49411;55011;55013;76429,6.69247787611;5.59925960204;11.862745098;1.81599879934;5.71293673277;1.41025641026;12.0638085743;14.2857142857;9.32203389831;9.68;11.3615023474;13.1808278867,0
4,10.388188468,6910;21925;21926;37280;49413;55014;55018;65823;76432;87594;87595;87596,14.7741147741;2.27315423633;18.0327868852;1.94471231115;10.1255230126;12.7368421053;12.209889001;6.57966286025;21.6071428571;4.39840058161;11.308411215;8.6676217765,0
5,8.1951422217,6913;6914;14820;14823;27837;49416;65824;65825,6.89458689459;6.72222222222;1.85782281591;13.4593993326;6.56538252849;13.5346756152;8.15913688469;8.36791147994,0
6,7.70754913443,6916;6917;6918;6919;6921;6922;14824;14825;41439;49418;55021;55024;76435,8.5031623331;5.51001821494;9.6260938743;6.95802185164;7.93442622951;8.37950138504;1.31023280996;1.53048317733;10.0414937759;3.39125560538;13.5498320269;6.54054054054;16.9230769231,0
7,9.46417547488,6925;6926;14828;14831;14832;55029;65829;76437;76438;87598,6.09571788413;4.793977813;2.03566621803;3.94265232975;12.4485596708;1.51382459652;2.13028169014;12.0638085743;35.6932153392;13.9240506329,0
8,9.078109001,6930;6932;6933;14833;14835;14836;27840;27841;27842;27843;33161;49422;49423;65830;76439,4.33381088825;4.35251798561;39.6721311475;4.31988575509;1.16896918172;6.11111111111;1.66414523449;12.1121121121;5.97235932873;12.8313891835;0.841446453408;3.11454311454;13.6107986502;22.2018348624;3.86458000639,0
9,5.82297219885,6934;6935;14840;27844;33164;49424;65838;76440,1.84817473652;1.98719001478;9.05011219147;6.11111111111;9.10458991723;7.10093896714;2.10251954822;9.27914110429,0
