time,velocity,informationId,partVelocity,week
0,11.4724252139,14804;14806;49399;76410;87583,12.4395300622;13.4128166915;8.27966881325;15.5574762316;7.6726342711,0
1,13.225488839,6894;14811;27831;65817;76416;76421,12.7840909091;12.2033898305;13.206162876;10.0953449243;13.5542168675;17.5097276265,0
2,8.56247401695,21921;65818;65820,6.79501698754;11.3924050633;7.5,0
3,10.1671444373,33153;41438;55013;76429,12.0643431635;14.9750415973;12.3456790123;1.28351397604,0
4,14.7922790738,49413;55018;76432;87595,11.2852664577;14.1620771046;20.4081632653;13.3136094675,0
5,14.5407376108,14823;49416;65824,17.0616113744;15.625;10.9356014581,0
6,11.6611071979,6919;41439;76435,6.70391061453;11.3780025284;16.9014084507,0
7,15.4033268295,14828;14832;76437;87598,20.8816705336;12.5874125874;13.5338345865;14.6103896104,0
8,14.8608463795,27841;27843;49423;65830,12.1130551817;15.0627615063;10.0727476217;22.1948212084,0
9,12.6711006641,33164;76440,14.1620771046;11.1801242236,0
10,12.2560291499,6937;14842;49427,12.9963898917;12.1212121212;11.6504854369,0
12,10.0148808275,6939;55039,11.7955439056;8.23421774931,0
13,12.8944258283,6941;21942;27850;33169;37285;49440;87623,15.1133501259;12.3456790123;8.04289544236;13.2450331126;15.8311345646;10.989010989;14.693877551,0
14,11.8421674221,21949;27851;55043;87625,17.7690029615;13.8461538462;2.3606557377;13.3928571429,0
15,14.0685190602,6955;14854;41449;76457,16.7910447761;11.1111111111;13.8674884438;14.5044319098,0
16,13.2404333109,6962;27861;49458,19.6078431373;11.7724002616;8.34105653383,0
17,11.2715157756,6967;6969;14863;27868;27876;41452;49467;55050;55051;55052;55053;55058;65878;65883;65884;87651;87652,13.6260408781;11.71875;6.40113798009;15.2801358234;16.9491525424;12.3881624226;8.64553314121;13.1868131868;15.0501672241;16.1434977578;3.09065934066;12.3966942149;7.44109136007;6.66666666667;17.6991150442;9.65665236052;5.2754982415,0
18,12.8644657605,6979;14872;14876;21974;27881;49471;49472;55063;55068;76476;87655,11.3136392206;4.89795918367;17.2579098754;24.7933884298;13.10997815;15.4506437768;10.9489051095;16.2162162162;7.03399765533;5.98205383848;14.5044319098,0
19,13.8638254154,14880;14889;27891;33199;41459;41463;49486;55072;55078;55079;65901;65903;65906;65909;76480;76488;87669,17.3913043478;13.9643134213;13.4328358209;15.5709342561;11.583011583;11.52368758;12.729844413;18.6721991701;13.1291028446;13.0624092888;17.8571428571;9.36524453694;12.5;13.3432171979;8.78048780488;17.7165354331;15.0627615063,0
20,10.9930049389,6995;14891;14895;14898;21991;21994;21996;22000;27896;27899;33206;33210;33216;37312;41469;49489;49490;49500;55080;55090;55094;65918;65919;65932;65933;76490;76493;76495;76503;76504;87679;87686;87687;87688;87691;87692,8.84955752212;5.29100529101;4.57084814627;10.7591153616;10.3626943005;15.9292035398;10.6571936057;13.3234641007;7.45033112583;8.95968143355;8.93743793446;17.1428571429;11.1731843575;10.1752402487;6.36267232238;12.9496402878;7.28744939271;17.9282868526;15.3452685422;11.0497237569;14.598540146;10.1867572156;9.68783638321;6.43776824034;11.7570215545;15.0753768844;8.07174887892;7.9575596817;11.0226576852;13.5951661631;11.7878192534;13.8036809816;12.7208480565;12.4567474048;12.8388017118;9.24499229584,0
