time,velocity,informationId,partVelocity,week
0,10.572340418,6890;14805;14807;14808;21916;27825;27826;37272;37273;37274;49400;49401;49403;49404;54997;54999;55000;55002;55003;55004;55005;65806;65807;65808;65809;65812;65814;65815;76411;76412;76414;87578;87579;87581;87582,11.2044817927;11.0192837466;11.1420612813;9.75609756098;2.63678312459;7.18132854578;8.60215053763;8.3857442348;11.6279069767;9.17431192661;13.5135135135;12.3839009288;8.79120879121;9.80392156863;16.7364016736;7.29927007299;19.2307692308;8.3857442348;6.29921259843;2.36406619385;3.61336946703;11.9047619048;13.3779264214;11.7302052786;11.6618075802;5.16795865633;16.8067226891;16.9491525424;14.1342756184;18.3486238532;11.4942528736;6.53594771242;8.0;12.3076923077;12.46105919,0
1,10.7337559846,6893;6898;6899;14809;14810;21919;21920;27832;27833;33149;37277;37278;49405;49407;55006;55007;55008;65816;76415;76417;76418;76419;76420;76422;87584;87585;87587;87590,13.698630137;8.1466395112;5.48696844993;13.3333333333;8.52878464819;7.59013282732;11.5942028986;12.9032258065;7.72200772201;10.3359173127;7.43494423792;14.9253731343;13.4228187919;12.987012987;10.1781170483;6.51465798046;12.8617363344;5.65770862801;12.5786163522;5.44217687075;18.1818181818;11.4613180516;9.85221674877;1.61746866154;12.539184953;19.1387559809;12.61829653;13.7931034483,0
2,9.6938680652,6902;14812;14813;14814;14815;27834;33150;49408;49409;65819;65821;76423;87591;87592,10.4438642298;9.80392156863;15.8102766798;7.88954635108;12.3076923077;11.4613180516;1.25984251969;10.498687664;9.80392156863;6.89655172414;10.498687664;9.63855421687;8.79120879121;10.6100795756,0
3,12.2322097404,6909;14816;27835;33152;33154;37279;49412;55012;76425;76426;76427;76428;87593,13.8888888889;10.152284264;8.33333333333;14.8148148148;9.70873786408;10.3896103896;21.164021164;10.0;14.9812734082;14.440433213;9.63855421687;10.6666666667;10.8401084011,0
4,11.20664728,6911;14817;14818;21924;21927;27836;33155;33156;49414;55015;55016;55019;65822;76430;76431;76433,7.85854616896;14.7601476015;7.90513833992;10.8991825613;10.6100795756;5.91715976331;10.9289617486;0.492732200049;5.24934383202;18.018018018;9.73236009732;8.60215053763;22.4719101124;12.987012987;18.4331797235;14.440433213,0
5,14.3820931747,6912;6915;14819;14821;14822;33157;33158;33159;49415;49417;55020;65826;76434,19.0476190476;9.87654320988;13.0718954248;10.582010582;17.5438596491;15.8102766798;17.0212765957;20.202020202;6.35930047695;13.2890365449;13.3333333333;21.7391304348;9.09090909091,0
6,10.3251680475,6920;14826;21928;41440;49419;55022;55023;55025;65827;76436,8.71459694989;9.07029478458;5.69800569801;15.3846153846;12.2324159021;11.9760479042;10.101010101;13.93728223;7.66283524904;8.47457627119,0
7,9.89588776251,6923;6924;6927;6928;14827;14829;14830;21929;21930;21931;27838;41441;41442;49420;55026;55027;55028;65828;87597,4.70035252644;15.873015873;4.69483568075;20.1005025126;9.50118764846;12.6984126984;12.61829653;8.54700854701;12.3076923077;8.83002207506;10.0755667506;11.8343195266;2.63504611331;9.3023255814;7.46268656716;5.99700149925;13.3779264214;8.45665961945;9.00900900901,0
8,9.66392891864,6929;6931;14834;21932;21933;21934;21935;27839;33160;33162;37281;49421;55030;55031;55032;65831;65832;87599;87600,12.7388535032;13.1578947368;7.32600732601;40.404040404;9.07029478458;7.00525394046;0.189483657035;6.32911392405;7.33944954128;6.09756097561;8.35073068894;8.65800865801;3.03260045489;2.08659363589;13.468013468;12.2699386503;6.32911392405;10.752688172;9.00900900901,0
9,9.73126466088,14837;14838;14839;21936;33163;33165;37282;49425;49426;55033;65833;65834;65835;65836;65837;65839;87601;87602;87603,7.7519379845;11.4613180516;10.6666666667;1.33511348465;10.2827763496;6.76818950931;1.12422709387;9.1533180778;10.6100795756;8.33333333333;10.3896103896;13.986013986;9.82800982801;10.6100795756;23.5294117647;10.8401084011;7.50469043152;12.539184953;8.1799591002,0
10,10.6279497965,6936;14841;21937;33166;49428;49429;55034;65840;65841;65842;87604;87605;87606;87607;87610,10.2040816327;22.0994475138;9.66183574879;14.1342756184;0.204258795894;9.43396226415;8.86917960089;8.42105263158;14.2348754448;11.7647058824;7.8431372549;9.50118764846;12.3456790123;11.2676056338;9.43396226415,0
11,9.80918974045,14844;14845;14847;14848;21938;37283;41443;55035;55036;65843;65845;65846;76441;76442,9.09090909091;11.0497237569;10.0;9.97506234414;3.43053173242;9.19540229885;2.98730395818;11.08033241;13.6518771331;13.986013986;13.986013986;10.152284264;12.3839009288;6.35930047695,0
12,11.6453782146,6940;21939;21940;21941;27845;27846;33167;33168;49431;55038;65848;65849;65850;76444;87611;87612;87613;87614;87616;87617;87618,17.4672489083;10.3359173127;5.28401585205;10.3896103896;8.24742268041;6.50406504065;22.3463687151;13.201320132;12.8205128205;9.47867298578;13.1578947368;18.018018018;12.5;13.1578947368;19.1387559809;11.6959064327;7.43494423792;10.3359173127;4.31034482759;7.85854616896;10.8695652174,0
13,11.7712404211,6942;6943;6944;21943;27848;27849;37286;49432;49433;49434;49435;49436;49437;49438;49439;49441;55040;55041;55042;65852;65853;76445;76446;76447;87619;87620;87621;87622,8.04828973843;15.8102766798;8.19672131148;8.45665961945;5.78034682081;10.0;36.036036036;7.92079207921;14.9812734082;9.19540229885;10.4438642298;8.0;5.18134715026;11.4285714286;17.316017316;10.2827763496;8.69565217391;10.5540897098;13.201320132;13.1578947368;16.7364016736;12.084592145;13.5135135135;10.6100795756;7.29927007299;15.2091254753;15.3846153846;6.06980273141,0
14,11.3020084486,6948;6949;6950;6951;6952;6953;6954;14849;14850;14851;14852;14853;21944;21945;21946;21947;21948;21950;27852;27853;27854;27855;27856;33170;33171;49442;49443;49445;49446;49447;49448;65856;65858;76448;76449;87624;87626,16.3265306122;7.76699029126;8.49256900212;13.3779264214;11.3314447592;7.19424460432;9.61538461538;5.91715976331;9.90099009901;16.6666666667;11.8343195266;9.17431192661;18.2648401826;5.60224089636;24.3902439024;7.49063670412;13.5593220339;10.8108108108;10.3896103896;6.2015503876;12.8205128205;14.9253731343;20.0;15.0943396226;11.4285714286;9.19540229885;19.2307692308;8.45665961945;12.3076923077;10.3896103896;8.04828973843;4.73372781065;6.92041522491;7.51879699248;14.5454545455;7.96812749004;10.2827763496,0
15,11.1073676467,6957;14855;14856;21951;21952;21953;21954;21955;21956;21957;27857;27858;33172;33173;33174;37288;41448;49449;49450;49451;49452;49453;49454;49455;49456;55044;55045;55046;65859;65860;65861;65862;65863;65864;65865;65866;76450;76451;76452;76453;76454;76455;76456;87627;87628;87629;87630;87631;87632,9.52380952381;11.9047619048;10.3626943005;15.2671755725;9.13242009132;11.396011396;10.0755667506;6.96864111498;5.79710144928;7.88954635108;12.5786163522;15.9362549801;5.99700149925;11.7647058824;7.13012477718;11.5606936416;12.8617363344;10.2564102564;11.7302052786;9.66183574879;8.69565217391;16.0642570281;19.3236714976;9.02934537246;9.09090909091;10.6100795756;5.10204081633;12.539184953;17.8571428571;13.0293159609;12.012012012;8.13008130081;10.3896103896;6.31911532385;13.0293159609;14.2348754448;13.3779264214;13.1147540984;4.05268490375;10.1265822785;5.16795865633;10.0250626566;13.93728223;20.8333333333;11.7302052786;12.012012012;11.9047619048;10.3896103896;14.3369175627,0
16,9.74068273639,6958;6960;6961;6963;6964;14857;14860;21958;21960;21961;21962;21964;27859;27860;33175;33176;33177;37289;37290;37291;37292;37293;37294;41450;49457;49459;49460;49461;49462;55047;55049;65868;65869;65870;65871;65872;65873;76459;76460;76462;76463;76464;76465;87633;87634;87635;87636;87637;87638;87639;87640;87641,13.8888888889;12.012012012;4.80192076831;11.396011396;11.2994350282;7.79727095517;5.46448087432;9.63855421687;9.02934537246;6.74536256324;14.3884892086;12.46105919;7.72200772201;8.45665961945;10.2040816327;9.97506234414;6.62251655629;13.0293159609;6.15384615385;10.8401084011;11.7994100295;2.17746325531;9.43396226415;4.77326968974;8.29875518672;9.3896713615;8.0;6.18238021638;8.79120879121;11.8694362018;24.3902439024;17.3913043478;7.29927007299;6.36942675159;8.9485458613;9.07029478458;4.6511627907;12.61829653;10.0;11.3314447592;9.2807424594;9.32400932401;8.13008130081;11.6279069767;8.24742268041;8.92857142857;9.02934537246;6.70016750419;12.1951219512;10.989010989;13.7457044674;13.6054421769,0
17,10.7818864179,6966;6968;6970;6973;14862;14864;14865;14866;14867;14868;21965;21966;21968;21969;27869;27870;27871;27872;27873;33178;33179;33180;33181;33182;33184;33185;33186;37295;37296;37297;41451;41453;49463;49464;49466;49468;55055;55057;55060;65875;65876;65879;65881;65882;76466;76467;76468;76469;76470;76471;76472;76473;76474;87645;87646;87647;87649;87650;87653,12.3456790123;7.02987697715;13.3333333333;10.2040816327;8.3857442348;6.83760683761;17.1673819742;11.8694362018;10.0755667506;11.4942528736;9.75609756098;7.85854616896;5.6338028169;7.59013282732;10.2040816327;12.1212121212;3.89105058366;10.582010582;12.6984126984;16.8067226891;6.36942675159;11.5942028986;5.94353640416;5.36912751678;15.8102766798;4.95662949195;10.152284264;11.6618075802;9.1533180778;9.19540229885;6.79117147708;9.43396226415;6.44122383253;33.8983050847;13.3333333333;13.7931034483;35.7142857143;12.1580547112;6.99300699301;10.2564102564;10.4712041885;5.39811066127;12.9449838188;15.873015873;8.62068965517;8.47457627119;7.13012477718;2.42865816636;14.3369175627;11.6959064327;12.1580547112;6.26959247649;8.0971659919;15.1515151515;3.28137817884;12.3456790123;11.2044817927;13.3333333333;12.012012012,0
