time,velocity,informationId,partVelocity,week
0,9.70155482257,6889;14806;21918;49399;54998;65810;76410,14.5574250183;4.20274551214;4.13549459684;10.1478837328;10.2736189985;10.6189967983;13.9747191011,0
1,8.43627924936,6894;14811;49406;65817;76421;87586,13.1613756614;4.58736745044;2.2194958733;14.610866373;12.9388816645;3.09968847352,0
2,9.00337982294,55010;65820;76424,9.14942528736;3.62609329446;14.234620887,0
3,15.450310559,41438,15.450310559,0
4,12.4588629193,21925;49413;76432,12.0241691843;4.57997698504;20.7724425887,0
5,10.9944751381,65824,10.9944751381,0
6,11.7772096932,55024;76435,8.22314049587;15.3312788906,0
7,7.59818850166,14828;55029;87598,15.5833985904;2.61532395847;4.59584295612,0
8,13.8675958188,49423,13.8675958188,0
9,8.43117895555,6934;6935;33164;49424;65838,7.27073438071;6.98490698491;17.6731793961;4.38615825435;5.84091576167,0
10,11.8735083532,14842,11.8735083532,0
12,4.79402553602,6939,4.79402553602,0
13,9.27700606487,49440;65854;87623,4.5155434536;13.0577427822;10.2577319588,0
14,4.03160453809,87625,4.03160453809,0
15,6.64440734558,76458,6.64440734558,0
16,11.5534394031,6962;27862,18.2234432234;4.88343558282,0
17,9.35842292941,6972;14863;14870;27876;41452;49467;55051;55053;55056;65877;65883,1.30406290957;4.82307319438;10.8683779356;15.7187993681;12.871927555;11.0249307479;13.3288680509;2.91361639824;15.2373660031;11.7058823529;3.14574770787,0
18,11.5513220255,14876;14879;21974;55068;87655,16.5145228216;0.41228142869;24.812967581;3.28491251238;12.7319257837,0
19,12.6667306356,14885;14889;27888;33199;37305;41459;41463;49481;49486;49487;55072;55078;55079;65901;65907;76488,12.8969539857;13.9649122807;0.994651871845;15.5712050078;9.38679245283;12.9053177691;15.2024446142;10.8093427485;14.9399399399;9.98995983936;17.5021987687;11.733490566;14.2959770115;16.2581699346;13.5006784261;12.7156549521,0
20,10.8180304187,21994;21996;33210;49494;55080;55090;65933;76504;87679;87686;87691,3.93125246938;15.2024446142;14.0636042403;21.6304347826;17.6731793961;8.95589558956;12.7400768246;13.5928961749;4.48299166479;3.69202226345;3.03353658537,0
