time,velocity,informationId,partVelocity,week
0,9.79858975838,37273;37274;49400;49401;49404;54997;55000;55002;55003;55004;55005;65806;65807;65808;65809;65814;65815;76411;76412;87579;87581;87582,9.88009592326;3.56031800899;7.84761904762;12.3872519543;10.8592514497;13.6968085106;12.6535626536;7.57352941176;2.49727239665;3.43791722296;2.4286724829;12.9396984925;11.9976703553;9.12311780337;9.95650072499;12.6148193509;10.9691160809;12.160566706;15.3046062407;9.94688556253;11.4571746385;12.2765196663,0
1,10.6134023706,14809;14810;27832;27833;33149;37278;55008;76415;76418;87585;87590,11.1834961998;7.95674005407;7.25352112676;9.76766239924;10.740354536;11.3812154696;11.5212527964;9.59925442684;12.7082048118;15.3731343284;9.26258992806,0
2,10.1686153824,6902;14812;14813;14815;27834;87591;87592,8.29975825947;12.4697336562;9.73075106282;11.7245304496;7.33357066572;15.1582045622;6.46375902102,0
3,11.0077138872,27835;55012;76425;76427;76428,7.47731397459;11.6581777023;17.8200692042;9.3170511081;8.76595744681,0
4,12.5676094414,14817;33155;55015;65822;76430;76431,9.21288014311;12.9072681704;13.7241838774;14.1289437586;10.5048444671;14.9275362319,0
5,12.2856314251,6912;14819;14821;14822;33157;33158;55020,18.795620438;9.33816863101;8.90233362143;9.84233158146;13.137755102;10.0881488737;15.8950617284,0
6,17.4086721178,14826;41440;49419;55025;76436,10.4887983707;12.0327102804;12.2327790974;40.5511811024;11.7378917379,0
7,11.3914626764,6923;6924;14829;14830;21930;27838;49420,6.73642903859;14.335421016;12.684729064;12.6302881668;9.99514798641;12.6457949662;10.7124284971,0
8,12.0963006459,55032,12.0963006459,0
9,16.8265025073,65833;65837,10.0832109643;23.5697940503,0
10,14.8230193207,33166;65841;87604;87606,11.6978989211;26.8578878748;8.99170667831;11.7445838084,0
11,8.6956972703,65843;65845;76442,8.37058106461;10.2743142145;7.44219653179,0
12,10.2146840971,6940;33168;49431;65848;65849;87612,9.78157644824;9.66682308775;9.3508851566;10.0340964442;11.3436123348;11.1111111111,0
13,9.91761604837,6943;27849;49433;49438;49439;65853;76447;87620;87621,11.4827201784;8.92161108705;11.1713665944;8.61204013378;15.1248164464;5.60239325537;10.8193277311;10.1328086572;7.39146035163,0
14,10.2999261095,6948;6951;14850;14851;21944;21945;21948;27854;27855;33171;65858;76448;76449,8.51591566763;8.999563128;9.63968179691;6.23109497883;11.5795390669;8.09748427673;18.7613843352;13.7150466045;11.4955357143;9.67590418037;5.25108335458;9.40639269406;12.5304136253,0
15,9.8458735932,14855;14856;21951;27857;41448;49455;55046;65859;65860;65861;87628;87629,11.4763231198;11.3686534216;10.6350025813;13.3679428942;9.71239981141;7.15774843641;7.18020216103;8.50888062784;8.046875;11.2445414847;12.2692078618;7.18270571827,0
16,8.5861250608,6960;6963;21962;21964;49459;55047;65868;76459;76462;76464;76465;87640;87641,12.5151883354;13.4464751958;13.5883905013;3.66287339972;8.63369656329;6.66450986736;3.40270895276;11.7579908676;9.78157644824;4.44156964209;5.93488908096;3.84256668532;13.9471902505,0
17,11.1145898824,6966;14866;21965;27869;27870;27872;33178;33180;33184;49463;49466;49468;55057;65882;76472;76473;87645,8.91003460208;9.3508851566;10.0487804878;8.42880523732;12.4546553809;10.351758794;14.6410803127;11.7916428163;7.83269961977;9.05892700088;9.32548664554;10.2743142145;14.7037830121;3.83970177074;23.8425925926;10.3778337531;13.7150466045,0
