time,velocity,informationId,partVelocity,week
0,10.2445257435,14804;14806;49399;76410;87583,9.66420966421;13.140311804;8.28070175439;9.14020139427;10.9972041007,0
1,7.97242972801,6894;14811;27831;65817;76416;76421,12.688172043;13.7529137529;14.1997593261;1.52336689904;2.34173447113;3.32863187588,0
2,4.78790975665,21921;65818;65820,6.27659574468;1.32882882883;6.75830469645,0
3,7.7687573389,33153;41438;55013;76429,12.0654396728;12.3301985371;6.31691648822;0.362474657492,0
4,10.8494871617,49413;55018;76432;87595,7.90884718499;8.61313868613;13.866039953;13.0099228225,0
5,11.5477435605,14823;49416;65824,13.2435465769;12.6068376068;8.79284649776,0
6,3.74536057091,6919;41439;76435,5.94159113797;1.12929466935;4.1651959054,0
7,13.2568930535,14828;14832;76437;87598,20.8849557522;9.47030497592;9.14020139427;13.5321100917,0
8,12.222709393,27841;27843;49423;65830,2.16633008996;14.4254278729;10.0768573868;22.2222222222,0
9,13.2206140287,33164;76440,19.5041322314;6.93709582598,0
10,9.0128667218,6937;14842;49427,9.91596638655;14.2340168878;2.88861689106,0
12,11.6701800632,6939;55039,11.4451988361;11.8951612903,0
13,11.4472897957,6941;21942;27850;33169;37285;49440;87623,14.75;10.350877193;8.28651685393;13.4396355353;13.5632183908;9.84974958264;9.89103101425,0
14,12.2414647415,21949;27851;55043;87625,17.7710843373;10.0084817642;19.1247974068;2.06149545772,0
15,10.784810479,6955;14854;41449;76457,15.5263157895;11.3789778206;12.1900826446;4.04386566141,0
16,21.4296297651,6962;27861;49458,17.4814814815;12.3044838373;34.5029239766,0
17,11.2083450816,6967;6969;14863;27868;27876;41452;49467;55050;55051;55052;55053;55058;65878;65883;65884;87651;87652,11.8;11.8355065196;9.89103101425;16.1202185792;13.6416184971;3.38302752294;9.29866036249;11.8236472946;17.4556213018;15.344603381;21.2612612613;12.2533748702;7.31102850062;8.17740817741;3.68634801624;8.01086218601;9.24764890282,0
18,12.1279834257,6979;14872;14876;21974;27881;49471;49472;55063;55068;76476;87655,11.8951612903;2.7176416398;17.5595238095;24.7899159664;18.8197767145;3.17119054018;10.7664233577;13.1843575419;10.9360518999;7.86142571619;11.7063492063,0
19,10.9425881809,14880;14889;27891;33199;41459;41463;49486;55072;55078;55079;65901;65903;65906;65909;76480;76488;87669,12.9102844639;13.9644970414;14.4254278729;15.5672823219;3.2650802435;12.3560209424;4.02592971682;15.0702426564;13.3786848073;13.0530973451;15.0702426564;10.8755760369;7.39811912226;7.66731643925;9.19719407638;4.18885339013;13.6101499423,0
20,9.02033559439,6995;14891;14895;14898;21991;21994;21996;22000;27896;27899;33206;33210;33216;37312;41469;49489;49490;49500;55080;55090;55094;65918;65919;65932;65933;76490;76493;76495;76503;76504;87679;87686;87687;87688;87691;87692,7.70738079686;4.53671664744;15.1866151866;10.7566089335;3.14331379861;11.1320754717;11.0798122066;12.5665601704;2.89499509323;3.63748458693;7.44949494949;27.1889400922;2.3939947251;6.40260444927;8.79940343028;9.23317683881;8.91912320484;12.8540305011;17.1262699565;12.9955947137;7.96221322537;3.81630012937;4.0149710786;6.42002176279;3.51399642644;3.32581736189;7.04898446834;3.73299588738;4.53846153846;13.5944700461;12.1149897331;12.1274409044;11.4009661836;16.4574616457;12.9527991218;5.70599613153,0
21,10.034576395,7000;7019;14917;22009;22013;27917;33225;37320;41472;41477;41478;49506;49514;49518;49519;49521;55096;55099;55104;55105;55108;55109;55117;55121;65935;76505;76514;76515;76518;76521;76525;76527;76529;87695;87700;87711,14.0811455847;2.51277683135;19.0630048465;12.4867724868;13.5632183908;8.62573099415;5.06003430532;11.5009746589;28.8508557457;10.102739726;6.9616519174;3.90728476821;2.89144817447;7.36579275905;7.96221322537;8.50144092219;14.9178255373;15.8815612382;8.74722016308;2.89641629848;2.40472793968;12.6338329764;11.7764471058;15.6291390728;9.44;8.81254667662;6.0824742268;2.84543043164;7.23926380368;10.1374570447;13.6890951276;1.71262699565;13.4396355353;13.0965593785;18.4952978056;7.93010752688,0
